Date,Close,High,Low,Open,Volume
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2022-07-06,2567.89599609375,2577.1453828170283,2479.301000293593,2482.3840554052126,739745
2022-07-07,2574.833251953125,2601.402742982671,2561.86586676924,2590.7477600702364,382303
2022-07-08,2583.765625,2611.5591752503356,2556.334709049819,2582.949365741959,532145
2022-07-11,2600.813232421875,2607.4327463784693,2546.359428062887,2552.6616924041036,428940
2022-07-12,2607.523681640625,2615.7303297502895,2569.8911889304577,2588.480733522227,422887
2022-07-13,2578.369873046875,2622.3046296409107,2570.797945744774,2616.138297521578,539917
2022-07-14,2532.530517578125,2598.9087426522005,2513.71427319221,2573.5181478181944,620757
2022-07-15,2539.10546875,2553.977017830135,2523.417660381175,2539.014699477322,816619
2022-07-18,2555.336669921875,2571.568647601065,2543.8202656215735,2566.2183536176094,369313
2022-07-19,2540.147705078125,2581.5435771508255,2524.0518809488,2552.66168586199,661056
2022-07-20,2563.31689453125,2574.1985794111915,2548.127876052998,2557.195946786283,201509
2022-07-21,2582.4052734375,2588.027433114017,2552.7073412600353,2557.1959920748172,314132
2022-07-22,2603.987060546875,2614.687205998294,2575.603957269561,2585.352132485088,576270
2022-07-25,2574.289306640625,2607.7957831753256,2567.578801574497,2607.0702932508193,421977
2022-07-26,2539.739990234375,2582.3145393839823,2526.0471144425255,2575.3321689781756,347002
2022-07-27,2555.1669921875,2560.1256279667905,2507.2326909574654,2539.0510896197134,498259
2022-07-28,2553.468017578125,2582.2103037056045,2529.3171437972055,2569.354349135235,294368
2022-07-29,2587.765869140625,2614.1664892320714,2561.6407786185773,2571.1908262973766,400652
2022-08-01,2608.65673828125,2670.3652719420393,2589.5564191459944,2603.2846964591317,961562
2022-08-02,2544.973876953125,2597.7751183621313,2517.9764623261067,2595.158147867195,1137765
2022-08-03,2572.935546875,2578.3535479280426,2524.725717502457,2558.3349453696233,600314
2022-08-04,2577.619384765625,2596.857361342226,2552.045123423849,2589.465141211237,396416
2022-08-05,2544.285400390625,2580.282031285444,2535.378104549852,2578.5373841274845,512072
2022-08-08,2514.30322265625,2565.038326315591,2506.911004343894,2543.6423011108377,675310
2022-08-10,2548.6474609375,2557.417104824378,2509.574490494355,2557.417104824378,895054
2022-08-11,2557.6923828125,2587.72017678961,2541.2549909654076,2562.329754440006,422152
2022-08-12,2536.204345703125,2566.599586112721,2526.975785935164,2561.962214652215,435760
2022-08-16,2586.801513671875,2613.1102146833637,2554.202488561704,2575.7821249022395,1213957
2022-08-17,2675.3701171875,2689.6494549666986,2578.583230914912,2584.9652494814804,2510869
2022-08-18,2670.549072265625,2698.4649942633105,2665.911700888388,2688.685151305167,805655
2022-08-19,2606.6826171875,2696.9038758665697,2601.3567578592656,2674.0387305185895,510610
2022-08-22,2553.330810546875,2603.928048923274,2539.556571103012,2603.331254890078,570304
2022-08-23,2574.313232421875,2580.3739869783535,2530.9243815732175,2548.2340974608296,396875
2022-08-24,2577.022216796875,2593.229813454942,2552.825382933689,2554.065154000709,324008
2022-08-25,2571.00732421875,2590.520826857096,2563.752758135636,2578.62911361668,363945
2022-08-26,2595.7548828125,2608.7484896401675,2586.8475879978055,2603.330712929491,475372
2022-08-29,2596.03076171875,2600.5302565964816,2535.470071593364,2560.998147464691,339203
2022-08-30,2605.810302734375,2629.96117822438,2600.162954824482,2609.758962469863,918526
2022-09-01,2641.5771484375,2646.6736609276513,2564.6709924254696,2589.5565367632944,838699
2022-09-02,2594.28564453125,2652.918070235142,2589.6484973846154,2652.275317340663,776170
2022-09-05,2609.804931640625,2615.26866790304,2578.5833253524565,2596.9030171452937,930716
2022-09-06,2632.302734375,2635.241193524889,2596.719287646508,2609.804813217631,481401
2022-09-07,2621.467041015625,2640.0622621665375,2599.6578310238147,2607.9223737575535,551689
2022-09-08,2623.80859375,2638.6847251946233,2613.4319568136066,2634.5984129673434,519141
2022-09-09,2606.4990234375,2643.046713263929,2601.218898847465,2636.9402240662657,522672
2022-09-12,2624.359375,2635.378764613392,2609.161979510242,2614.3501857771917,313906
2022-09-13,2635.470947265625,2665.77427174638,2600.576209984756,2604.249340224848,766550
2022-09-14,2618.482666015625,2635.195363426071,2598.739591381455,2598.739591381455,519643
2022-09-15,2562.28369140625,2621.696524012586,2540.4744821434483,2621.696524012586,1010823
2022-09-16,2465.772216796875,2575.1397563316536,2451.814367110515,2575.1397563316536,1906557
2022-09-19,2483.403076171875,2502.2738261785657,2447.0851830460047,2478.122951854605,534862
2022-09-20,2545.06591796875,2592.541078572046,2492.8155089941606,2495.8458860943847,1009201
2022-09-21,2549.749267578125,2578.491557525196,2541.438989478534,2557.417016891878,447919
2022-09-22,2550.0244140625,2570.5940755321376,2509.6659450746665,2549.748884488477,328914
2022-09-23,2536.342041015625,2582.4397743525637,2518.297656678136,2562.8343547156855,408930
2022-09-26,2498.96826171875,2529.730726584876,2451.997975625533,2516.094141289087,610918
2022-09-27,2422.65869140625,2511.502519092616,2415.0828611384204,2511.502519092616,740040
2022-09-28,2379.59130859375,2410.491423257777,2364.6692188307256,2387.5343620838935,923391
2022-09-29,2329.0400390625,2391.5292104261525,2318.663401575849,2387.5805506864444,1057406
2022-09-30,2340.8857421875,2380.3259313651565,2304.889112440781,2340.7021305225303,706844
2022-10-03,2319.168212890625,2363.6129923851827,2314.484882868121,2331.0599254030076,658511
2022-10-04,2407.552978515625,2413.1543669611765,2351.8132784935274,2369.1687271676883,391128
2022-10-06,2429.867431640625,2445.9831102876956,2415.3125642274995,2437.121773770472,463669
2022-10-07,2410.4453125,2511.410416346468,2396.6251177056365,2465.4962968901355,1065099
2022-10-10,2360.4453125,2387.351036255055,2324.540374849353,2387.351036255055,1076512
2022-10-11,2339.92138671875,2365.0365019542555,2326.744167785669,2364.5773607191645,407068
2022-10-12,2341.66650390625,2354.8896831898787,2310.490855606733,2341.620544939902,401910
2022-10-13,2338.3603515625,2363.9346080353394,2325.091214705215,2344.3751465807322,239037
2022-10-14,2328.672607421875,2373.7603698876464,2322.3825065263522,2365.0366857429917,250851
2022-10-17,2345.01806640625,2359.9861165750713,2315.4953725616997,2317.7451199359843,257635
2022-10-18,2352.6396484375,2384.54996373149,2327.570492591549,2356.771919482765,454003
2022-10-19,2333.539306640625,2363.659015703607,2325.2747646276753,2363.659015703607,375698
2022-10-20,2355.899658203125,2359.985970395565,2298.2314736994163,2329.177548395385,364460
2022-10-21,2359.848388671875,2366.414018916397,2339.7378672683253,2360.9043238781746,360297
2022-10-24,2370.91357421875,2378.3517523867986,2364.5775144386125,2374.6786222672827,35097
2022-10-25,2374.31103515625,2389.370776662892,2356.3585696096493,2374.770176350843,410336
2022-10-27,2397.40625,2405.900363880111,2366.4601718369636,2385.698147084171,473043
2022-10-28,2433.31103515625,2455.8089569873973,2404.9819296234514,2409.4356895395226,717856
2022-10-31,2458.1044921875,2473.99059938997,2439.41735445458,2449.977602742262,511816
2022-11-01,2454.706787109375,2470.96056679029,2423.623058847593,2470.409507611591,368266
2022-11-02,2427.89306640625,2440.0603100091876,2415.4045584297314,2433.4027616226745,565598
2022-11-03,2430.096923828125,2450.3448731034537,2413.246350691225,2423.3474579429767,311401
2022-11-04,2377.34130859375,2421.6943950851373,2363.153889797294,2406.8182644617655,855256
2022-11-07,2406.8642578125,2410.4914286480744,2378.3515429327667,2386.616084973846,314060
2022-11-09,2434.825927734375,2439.463298966901,2407.782554291496,2415.0828549656444,459177
2022-11-10,2490.84130859375,2499.564992439516,2411.7313600263287,2434.7801165153137,706321
2022-11-11,2450.436767578125,2508.701745375614,2442.6773255560893,2503.3299274480764,474615
2022-11-14,2468.71044921875,2486.7088749170657,2438.8662695899447,2452.273283037675,352558
2022-11-15,2507.599853515625,2528.9958798923763,2472.016407823515,2474.312113997199,1012827
2022-11-16,2515.5888671875,2529.8682044316497,2487.673169780139,2507.416242881874,647740
